客户编号	客户姓名	联系电话	客户等级	最后跟进时间	所属销售ID
C001	赵雨桐	13800000001	普通	2026-06-23T09:03:00	sales01
C002	钱博文	13800000002	普通	2026-06-22T09:06:00	sales02
C003	孙婉婷	13800000003	普通	2026-06-21T09:09:00	sales03
C004	李安然	13800000004	普通	2026-06-20T09:12:00	sales04
C005	周欣怡	13800000005	普通	2026-06-19T09:15:00	sales05
C006	吴俊杰	13800000006	普通	2026-06-18T09:18:00	sales06
C007	郑语晨	13800000007	普通	2026-06-17T09:21:00	sales07
C008	王启航	13800000008	VIP	2026-06-16T09:24:00	sales08
C009	冯可欣	13800000009	普通	2026-06-15T09:27:00	sales09
C010	陈思源	13800000010	普通	2026-06-14T09:30:00	sales10
C011	褚诗涵	13800000011	普通	2026-06-13T09:33:00	sales11
C012	卫承泽	13800000012	普通	2026-06-12T09:36:00	sales12
C013	蒋星辰	13800000013	普通	2026-06-11T09:39:00	sales13
C014	沈浩然	13800000014	普通	2026-06-10T09:42:00	sales14
C015	韩佳琪	13800000015	普通	2026-06-09T09:45:00	sales15
C016	杨天佑	13800000016	VIP	2026-06-08T09:48:00	sales16
C017	朱书瑶	13800000017	普通	2026-06-07T09:51:00	sales17
C018	秦昊天	13800000018	普通	2026-06-06T09:54:00	sales18
C019	尤宇航	13800000019	普通	2026-06-05T09:57:00	sales19
C020	许嘉豪	13800000020	普通	2026-06-04T10:00:00	sales20
C021	何依琳	13800000021	普通	2026-06-03T10:03:00	sales01
C022	吕清妍	13800000022	普通	2026-06-02T10:06:00	sales02
C023	施一诺	13800000023	普通	2026-06-01T10:09:00	sales03
C024	张明轩	13800000024	VIP	2026-05-31T10:12:00	sales04
C025	孔若曦	13800000025	普通	2026-05-30T10:15:00	sales05
C026	曹景行	13800000026	普通	2026-05-29T10:18:00	sales06
C027	严嘉宁	13800000027	普通	2026-05-28T10:21:00	sales07
C028	华梓萱	13800000028	普通	2026-05-27T10:24:00	sales08
C029	金梦瑶	13800000029	普通	2026-05-26T10:27:00	sales09
C030	魏泽宇	13800000030	普通	2026-05-25T10:30:00	sales10
C031	陶沐阳	13800000031	普通	2026-05-24T10:33:00	sales11
C032	姜子涵	13800000032	VIP	2026-05-23T10:36:00	sales12
C033	赵雨桐	13800000033	普通	2026-05-22T10:39:00	sales13
C034	钱博文	13800000034	普通	2026-05-21T10:42:00	sales14
C035	孙婉婷	13800000035	普通	2026-05-20T10:45:00	sales15
C036	李安然	13800000036	普通	2026-05-19T10:48:00	sales16
C037	周欣怡	13800000037	普通	2026-05-18T10:51:00	sales17
C038	吴俊杰	13800000038	普通	2026-05-17T10:54:00	sales18
C039	郑语晨	13800000039	普通	2026-05-16T10:57:00	sales19
C040	王启航	13800000040	VIP	2026-05-15T11:00:00	sales20
C041	冯可欣	13800000041	普通	2026-05-14T11:03:00	sales01
C042	陈思源	13800000042	普通	2026-05-13T11:06:00	sales02
C043	褚诗涵	13800000043	普通	2026-05-12T11:09:00	sales03
C044	卫承泽	13800000044	普通	2026-05-11T11:12:00	sales04
C045	蒋星辰	13800000045	普通	2026-06-24T11:15:00	sales05
C046	沈浩然	13800000046	普通	2026-06-23T11:18:00	sales06
C047	韩佳琪	13800000047	普通	2026-06-22T11:21:00	sales07
C048	杨天佑	13800000048	VIP	2026-06-21T11:24:00	sales08
C049	朱书瑶	13800000049	普通	2026-06-20T11:27:00	sales09
C050	秦昊天	13800000050	普通	2026-06-19T11:30:00	sales10
C051	尤宇航	13800000051	普通	2026-06-18T11:33:00	sales11
C052	许嘉豪	13800000052	普通	2026-06-17T11:36:00	sales12
C053	何依琳	13800000053	普通	2026-06-16T11:39:00	sales13
C054	吕清妍	13800000054	普通	2026-06-15T11:42:00	sales14
C055	施一诺	13800000055	普通	2026-06-14T11:45:00	sales15
C056	张明轩	13800000056	VIP	2026-06-13T11:48:00	sales16
C057	孔若曦	13800000057	普通	2026-06-12T11:51:00	sales17
C058	曹景行	13800000058	普通	2026-06-11T11:54:00	sales18
C059	严嘉宁	13800000059	普通	2026-06-10T11:57:00	sales19
C060	华梓萱	13800000060	普通	2026-06-09T12:00:00	sales20
C061	金梦瑶	13800000061	普通	2026-06-08T12:03:00	sales01
C062	魏泽宇	13800000062	普通	2026-06-07T12:06:00	sales02
C063	陶沐阳	13800000063	普通	2026-06-06T12:09:00	sales03
C064	姜子涵	13800000064	VIP	2026-06-05T12:12:00	sales04
C065	赵雨桐	13800000065	普通	2026-06-04T12:15:00	sales05
C066	钱博文	13800000066	普通	2026-06-03T12:18:00	sales06
C067	孙婉婷	13800000067	普通	2026-06-02T12:21:00	sales07
C068	李安然	13800000068	普通	2026-06-01T12:24:00	sales08
C069	周欣怡	13800000069	普通	2026-05-31T12:27:00	sales09
C070	吴俊杰	13800000070	普通	2026-05-30T12:30:00	sales10
C071	郑语晨	13800000071	普通	2026-05-29T12:33:00	sales11
C072	王启航	13800000072	VIP	2026-05-28T12:36:00	sales12
C073	冯可欣	13800000073	普通	2026-05-27T12:39:00	sales13
C074	陈思源	13800000074	普通	2026-05-26T12:42:00	sales14
C075	褚诗涵	13800000075	普通	2026-05-25T12:45:00	sales15
C076	卫承泽	13800000076	普通	2026-05-24T12:48:00	sales16
C077	蒋星辰	13800000077	普通	2026-05-23T12:51:00	sales17
C078	沈浩然	13800000078	普通	2026-05-22T12:54:00	sales18
C079	韩佳琪	13800000079	普通	2026-05-21T12:57:00	sales19
C080	杨天佑	13800000080	VIP	2026-05-20T13:00:00	sales20
C081	朱书瑶	13800000081	普通	2026-05-19T13:03:00	sales01
C082	秦昊天	13800000082	普通	2026-05-18T13:06:00	sales02
C083	尤宇航	13800000083	普通	2026-05-17T13:09:00	sales03
C084	许嘉豪	13800000084	普通	2026-05-16T13:12:00	sales04
C085	何依琳	13800000085	普通	2026-05-15T13:15:00	sales05
C086	吕清妍	13800000086	普通	2026-05-14T13:18:00	sales06
C087	施一诺	13800000087	普通	2026-05-13T13:21:00	sales07
C088	张明轩	13800000088	VIP	2026-05-12T13:24:00	sales08
C089	孔若曦	13800000089	普通	2026-05-11T13:27:00	sales09
C090	曹景行	13800000090	普通	2026-06-24T13:30:00	sales10
C091	严嘉宁	13800000091	普通	2026-06-23T13:33:00	sales11
C092	华梓萱	13800000092	普通	2026-06-22T13:36:00	sales12
C093	金梦瑶	13800000093	普通	2026-06-21T13:39:00	sales13
C094	魏泽宇	13800000094	普通	2026-06-20T13:42:00	sales14
C095	陶沐阳	13800000095	普通	2026-06-19T13:45:00	sales15
C096	姜子涵	13800000096	VIP	2026-06-18T13:48:00	sales16
C097	赵雨桐	13800000097	普通	2026-06-17T13:51:00	sales17
C098	钱博文	13800000098	普通	2026-06-16T13:54:00	sales18
C099	孙婉婷	13800000099	普通	2026-06-15T13:57:00	sales19
C100	李安然	13800000100	普通	2026-06-14T14:00:00	sales20
C101	周欣怡	13800000101	普通	2026-06-13T14:03:00	sales01
C102	吴俊杰	13800000102	普通	2026-06-12T14:06:00	sales02
C103	郑语晨	13800000103	普通	2026-06-11T14:09:00	sales03
C104	王启航	13800000104	VIP	2026-06-10T14:12:00	sales04
C105	冯可欣	13800000105	普通	2026-06-09T14:15:00	sales05
C106	陈思源	13800000106	普通	2026-06-08T14:18:00	sales06
C107	褚诗涵	13800000107	普通	2026-06-07T14:21:00	sales07
C108	卫承泽	13800000108	普通	2026-06-06T14:24:00	sales08
C109	蒋星辰	13800000109	普通	2026-06-05T14:27:00	sales09
C110	沈浩然	13800000110	普通	2026-06-04T14:30:00	sales10
C111	韩佳琪	13800000111	普通	2026-06-03T14:33:00	sales11
C112	杨天佑	13800000112	VIP	2026-06-02T14:36:00	sales12
C113	朱书瑶	13800000113	普通	2026-06-01T14:39:00	sales13
C114	秦昊天	13800000114	普通	2026-05-31T14:42:00	sales14
C115	尤宇航	13800000115	普通	2026-05-30T14:45:00	sales15
C116	许嘉豪	13800000116	普通	2026-05-29T14:48:00	sales16
C117	何依琳	13800000117	普通	2026-05-28T14:51:00	sales17
C118	吕清妍	13800000118	普通	2026-05-27T14:54:00	sales18
C119	施一诺	13800000119	普通	2026-05-26T14:57:00	sales19
C120	张明轩	13800000120	VIP	2026-05-25T15:00:00	sales20
